Occupation (2010 OCC codes),Wages (past 12 months),Wages-Male,Wages-Female,Number-Male,Number-Female,STEM
MGR-CHIEF EXECUTIVES AND LEGISLATORS,137002.629,147558.3092,105587.25,1057950,355475,0
MGR-GENERAL AND OPERATIONS MANAGERS,78333.71924,85965.37339,60826.10228,735406,320567,0
MGR-ADVERTISING AND PROMOTIONS MANAGERS,67149.04424,81042.90196,57408.13968,22808,32532,0
MGR-MARKETING AND SALES MANAGERS,86869.12847,104355.4734,66662.41456,562079,486408,0
MGR-PUBLIC RELATIONS AND FUNDRAISING MANAGERS,75050.92865,84767.86348,69878.25652,23089,43373,0
MGR-ADMINISTRATIVE SERVICES MANAGERS,60203.01113,65278.16007,51752.2466,107026,64275,0
MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS,99932.18735,106888.8141,82995.48897,457274,187822,1
MGR-FINANCIAL MANAGERS,88414.25231,115926.0931,65169.66131,594933,704151,0
MGR-COMPENSATION AND BENEFITS MANAGERS,73249.94261,95815.00847,66290.07247,4724,15316,0
MGR-HUMAN RESOURCES MANAGERS,70005.64128,77635.23174,64998.01694,187626,285866,0
MGR-TRAINING AND DEVELOPMENT MANAGERS,65285.95434,69067.51089,60817.36488,40404,34192,0
MGR-INDUSTRIAL PRODUCTION MANAGERS,74748.99562,77297.83258,64864.98434,219118,56505,0
MGR-PURCHASING MANAGERS,71669.82744,78616.00926,63622.72985,121644,105002,0
"MGR-TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS",52639.14107,53751.78175,48016.14131,218178,52510,0
"MGR-FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANAGERS",20040.2824,21413.17771,12631.51188,619605,114817,0
MGR-CONSTRUCTION MANAGERS,59303.80312,59895.00599,52502.17588,687626,59769,0
MGR-EDUCATION ADMINISTRATORS,59890.53489,72634.67017,52929.98694,373830,684449,0
MGR-ARCHITECTURAL AND ENGINEERING MANAGERS,129197.2741,130568.4387,115458.2677,157674,15736,1
MGR-FOOD SERVICE MANAGERS,35466.77365,42532.66528,28191.22212,572439,555943,0
MGR-GAMING MANAGERS,45406.43208,49799.60726,38829.4164,13673,9133,0
MGR-LODGING MANAGERS,42815.27297,51115.43629,35170.22555,75375,81834,0
MGR-MEDICAL AND HEALTH SERVICES MANAGERS,73409.07654,95553.37384,64288.42351,217230,527419,0
MGR-NATURAL SCIENCES MANAGERS,89737.48157,104506.9032,76347.80919,10966,12096,1
"MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION MANAGERS",48828.43182,58842.40428,39156.68591,343261,355407,0
MGR-SOCIAL AND COMMUNITY SERVICE MANAGERS,52065.26018,62018.86923,47569.22664,135324,299589,0
MGR-EMERGENCY MANAGEMENT DIRECTORS,58919.13806,61289.39074,52933.89941,8535,3380,0
"MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE MANAGERS AND POSTMASTERS AND MAIL SUPERINTENDENTS",75817.75832,83642.26334,61743.35335,3106674,1727120,0
"BUS-AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMERS, AND ATHLETES",48166.75627,53908.76366,41606.40623,28924,25316,0
"BUS-BUYERS AND PURCHASING AGENTS, FARM PRODUCTS",47286.1416,51885.30316,35614.5752,8065,3178,0
"BUS-WHOLESALE AND RETAIL BUYERS, EXCEPT FARM PRODUCTS",33927.94571,37746.92481,30866.35952,114279,142550,0
"BUS-PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND FARM PRODUCTS",50058.92514,55420.31834,45247.034,151817,169154,0
"BUS-CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, AND INVESTIGATORS",48518.47733,54744.86949,44320.86073,138996,206175,0
BUS-COMPLIANCE OFFICERS,66896.98007,71771.09578,62345.9749,131934,141301,0
BUS-COST ESTIMATORS,55789.87149,57799.20514,43533.25948,132702,21755,0
BUS-HUMAN RESOURCES WORKERS,55926.92463,65277.52895,52273.55923,253669,649253,0
"BUS-COMPENSATION, BENEFITS, AND JOB ANALYSIS SPECIALISTS",50688.9367,63937.76165,46641.5604,15020,49167,0
BUS-TRAINING AND DEVELOPMENT SPECIALISTS,49627.56554,54521.79178,45519.88064,73971,88135,0
BUS-LOGISTICIANS,50520.81459,54079.65329,43680.67062,104352,54293,0
BUS-MANAGEMENT ANALYSTS,69977.04512,78059.73713,58747.05199,581952,418855,0
"BUS-MEETING, CONVENTION, AND EVENT PLANNERS",35386.64449,37606.87329,34725.17543,37362,125406,0
BUS-FUNDRAISERS,48853.10276,58224.23692,45225.60966,32880,84941,0
BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,65925.55525,81335.52262,54877.13816,146684,204590,0
