"SOC Occupation recode based on 2010 SOC codes (Note: due to space restrictions, some labels may be truncated.)",Male,Female
N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),2937171,3532470
MGR-GENERAL AND OPERATIONS MANAGERS,36737,15995
MGR-CHIEF EXECUTIVES AND LEGISLATORS *,54362,18188
MGR-ADVERTISING AND PROMOTIONS MANAGERS,1155,1597
MGR-MARKETING AND SALES MANAGERS,26804,22510
MGR-PUBLIC RELATIONS AND FUNDRAISING MANAGERS,1134,2102
MGR-ADMINISTRATIVE SERVICES MANAGERS,5270,3181
MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS,22416,9366
MGR-FINANCIAL MANAGERS,28944,34998
MGR-INDUSTRIAL PRODUCTION MANAGERS,10896,2748
MGR-PURCHASING MANAGERS,6215,5323
"MGR-TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS",10124,2413
MGR-COMPENSATION AND BENEFITS MANAGERS,217,789
MGR-HUMAN RESOURCES MANAGERS,9751,14399
MGR-TRAINING AND DEVELOPMENT MANAGERS,1829,1577
"MGR-FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANAGERS",47346,8394
MGR-CONSTRUCTION MANAGERS,32051,2585
MGR-EDUCATION ADMINISTRATORS,19967,36152
MGR-ARCHITECTURAL AND ENGINEERING MANAGERS,8164,807
MGR-FOOD SERVICE MANAGERS,23732,23843
MGR-GAMING MANAGERS,650,475
MGR-LODGING MANAGERS,3740,4061
MGR-MEDICAL AND HEALTH SERVICES MANAGERS,10580,25639
MGR-NATURAL SCIENCES MANAGERS,579,590
"MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION MANAGERS",16401,16818
MGR-SOCIAL AND COMMUNITY SERVICE MANAGERS,6828,15222
MGR-EMERGENCY MANAGEMENT DIRECTORS,443,171
"MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE MANAGERS AND POSTMASTERS AND MAIL SUPERINTENDENTS *",147972,83091
"BUS-AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMERS, AND ATHLETES",1286,1145
"BUS-BUYERS AND PURCHASING AGENTS, FARM PRODUCTS",440,162
"BUS-WHOLESALE AND RETAIL BUYERS, EXCEPT FARM PRODUCTS",5617,7126
"BUS-PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND FARM PRODUCTS",7591,8656
"BUS-CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, AND INVESTIGATORS",6634,9673
BUS-COMPLIANCE OFFICERS,6472,6624
BUS-COST ESTIMATORS,6860,1046
BUS-HUMAN RESOURCES WORKERS,11619,29744
BUS-LOGISTICIANS,4520,2438
BUS-MANAGEMENT ANALYSTS,29059,20486
"BUS-MEETING CONVENTION, AND EVENT PLANNERS",1652,5889
BUS-FUNDRAISERS,1767,4460
"BUS-COMPENSATION, BENEFITS, AND JOB ANALYSIS SPECIALISTS",714,2476
BUS-TRAINING AND DEVELOPMENT SPECIALISTS,3743,4204
BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,6799,9529
"BUS-BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",7461,8825
FIN-ACCOUNTANTS AND AUDITORS,44746,72057
FIN-APPRAISERS AND ASSESSORS OF REAL ESTATE,3784,2103
FIN-BUDGET ANALYSTS,1045,1813
FIN-CREDIT ANALYSTS,645,849
FIN-FINANCIAL ANALYSTS,5106,3386
FIN-PERSONAL FINANCIAL ADVISORS,13461,5956
FIN-INSURANCE UNDERWRITERS,1959,3961
FIN-FINANCIAL EXAMINERS,422,368
FIN-CREDIT COUNSELORS AND LOAN OFFICERS,7671,9681
"FIN-TAX EXAMINERS AND COLLECTORS, AND REVENUE AGENTS",1274,2450
FIN-TAX PREPARERS,3378,5939
"FIN-FINANCIAL SPECIALISTS, ALL OTHER",1597,1956
CMM-COMPUTER AND INFORMATION RESEARCH SCIENTISTS,696,246
CMM-COMPUTER SYSTEMS ANALYSTS,17208,10888
CMM-INFORMATION SECURITY ANALYSTS,2665,770
CMM-COMPUTER PROGRAMMERS,19462,5871
CMM-WEB DEVELOPERS,6502,3902
"CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE*",46324,12861
CMM-DATABASE ADMINISTRATORS,3875,2637
CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,9458,2483
CMM-COMPUTER NETWORK ARCHITECTS,4806,496
CMM-COMPUTER SUPPORT SPECIALISTS,24198,9066
"CMM-COMPUTER OCCUPATIONS, ALL OTHER",20345,6680
CMM-ACTUARIES,960,504
CMM-OPERATIONS RESEARCH ANALYSTS,4073,3885
"CMM-MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS AND STATISTICIANS *",1577,1385
"ENG-ARCHITECTS, EXCEPT NAVAL",7842,2860
"ENG-SURVEYORS, CARTOGRAPHERS, AND PHOTOGRAMMETRISTS",1782,482
ENG-AEROSPACE ENGINEERS,6640,861
ENG-CHEMICAL ENGINEERS,2788,559
ENG-CIVIL ENGINEERS,15908,2390
ENG-COMPUTER HARDWARE ENGINEERS,2435,474
ENG-ELECTRICAL AND ELECTRONICS ENGINEERS,10870,1068
ENG-ENVIRONMENTAL ENGINEERS,1293,453
ENG-BIOMEDICAL AND AGRICULTURAL ENGINEERS *,755,138
"ENG-INDUSTRIAL ENGINEERS, INCLUDING HEALTH AND SAFETY",8794,2199
ENG-MARINE ENGINEERS AND NAVAL ARCHITECTS,725,78
ENG-MATERIALS ENGINEERS,1797,276
ENG-MECHANICAL ENGINEERS,12350,1001
"ENG-PETROLEUM, MINING AND GEOLOGICAL ENGINEERS, INCLUDING MINING SAFETY ENGINEERS *",1861,248
"ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS *",26062,3867
ENG-DRAFTERS,8046,2053
"ENG-ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",19591,4833
ENG-SURVEYING AND MAPPING TECHNICIANS,3866,439
SCI-AGRICULTURAL AND FOOD SCIENTISTS,1101,535
SCI-BIOLOGICAL SCIENTISTS,2392,2167
SCI-CONSERVATION SCIENTISTS AND FORESTERS,1284,325
"SCI-MEDICAL SCIENTISTS, AND LIFE SCIENTISTS, ALL OTHER *",3742,4074
SCI-ASTRONOMERS AND PHYSICISTS,570,117
SCI-ATMOSPHERIC AND SPACE SCIENTISTS,523,124
SCI-CHEMISTS AND MATERIALS SCIENTISTS,2893,1791
SCI-ENVIRONMENTAL SCIENTISTS AND GEOSCIENTISTS,3229,1388
"SCI-PHYSICAL SCIENTISTS, ALL OTHER",7229,5173
SCI-ECONOMISTS,1011,506
SCI-PSYCHOLOGISTS,3520,8518
SCI-URBAN AND REGIONAL PLANNERS,807,598
"SCI-MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS AND SOCIOLOGISTS *",1369,1579
SCI-AGRICULTURAL AND FOOD SCIENCE TECHNICIANS,1279,1020
SCI-BIOLOGICAL TECHNICIANS,753,696
SCI-CHEMICAL TECHNICIANS,2791,1429
"SCI-GEOLOGICAL AND PETROLEUM TECHNICIANS, AND NUCLEAR TECHNICIANS *",984,268
"SCI-MISCELLANEOUS LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS, INCLUDING SOCIAL SCIENCE RESEARCH ASSISTANTS *",6965,6585
CMS-COUNSELORS,13199,32323
CMS-SOCIAL WORKERS,8771,38576
CMS-PROBATION OFFICERS AND CORRECTIONAL TREATMENT SPECIALISTS,2354,2562
CMS-SOCIAL AND HUMAN SERVICE ASSISTANTS,2277,8020
"CMS-MISCELLANEOUS COMMUNITY AND SOCIAL SERVICE SPECIALISTS, INCLUDING HEALTH EDUCATORS AND COMMUNITY HEALTH WORKERS *",2023,4062
CMS-CLERGY,24006,5814
"CMS-DIRECTORS, RELIGIOUS ACTIVITIES AND EDUCATION",1561,2753
"CMS-RELIGIOUS WORKERS, ALL OTHER",2096,3357
LGL-JUDICIAL LAW CLERKS,536,669
"LGL-LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL WORKERS *",41250,23191
LGL-PARALEGALS AND LEGAL ASSISTANTS,3743,19268
LGL-MISCELLANEOUS LEGAL SUPPORT WORKERS,2985,7986
EDU-POSTSECONDARY TEACHERS,47740,48239
EDU-PRESCHOOL AND KINDERGARTEN TEACHERS,763,33613
EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS,47447,190282
EDU-SECONDARY SCHOOL TEACHERS,19907,28978
EDU-SPECIAL EDUCATION TEACHERS,1956,13230
EDU-OTHER TEACHERS AND INSTRUCTORS,23403,38107
"EDU-ARCHIVISTS, CURATORS, AND MUSEUM TECHNICIANS",1208,2145
EDU-LIBRARIANS,2020,10630
EDU-LIBRARY TECHNICIANS,943,2966
EDU-TEACHER ASSISTANTS,7585,63749
"EDU-OTHER EDUCATION, TRAINING, AND LIBRARY WORKERS *",2449,6207
ENT-ARTISTS AND RELATED WORKERS,6929,6823
ENT-DESIGNERS,21730,28317
ENT-ACTORS,1937,1757
ENT-PRODUCERS AND DIRECTORS,5270,3323
"ENT-ATHLETES, COACHES, UMPIRES, AND RELATED WORKERS",13036,8608
ENT-DANCERS AND CHOREOGRAPHERS,251,1080
"ENT-MUSICIANS, SINGERS, AND RELATED WORKERS",8368,5237
"ENT-ENTERTAINERS AND PERFORMERS, SPORTS AND RELATED WORKERS, ALL OTHER",1460,1351
ENT-ANNOUNCERS,2255,647
"ENT-NEWS ANALYSTS, REPORTERS AND CORRESPONDENTS",2417,2163
ENT-PUBLIC RELATIONS SPECIALISTS,2704,4916
ENT-EDITORS,5008,6433
ENT-TECHNICAL WRITERS,1640,2068
ENT-WRITERS AND AUTHORS,6060,9142
ENT-MISCELLANEOUS MEDIA AND COMMUNICATION WORKERS,2014,4438
ENT-PHOTOGRAPHERS,5507,5635
"ENT-TELEVISION, VIDEO, AND MOTION PICTURE CAMERA OPERATORS AND EDITORS",2780,644
"ENT-BROADCAST AND SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER *",5535,663
MED-CHIROPRACTORS,2148,901
MED-DENTISTS,7097,2617
MED-DIETITIANS AND NUTRITIONISTS,547,5037
MED-OPTOMETRISTS,1268,842
MED-PHARMACISTS,7665,9037
MED-PHYSICIANS AND SURGEONS,33242,17380
MED-PHYSICIAN ASSISTANTS,1878,3923
MED-PODIATRISTS,383,118
MED-OCCUPATIONAL THERAPISTS,566,5239
MED-PHYSICAL THERAPISTS,3530,8781
MED-RADIATION THERAPISTS,275,642
MED-RECREATIONAL THERAPISTS,146,529
MED-RESPIRATORY THERAPISTS,2182,3992
MED-SPEECH-LANGUAGE PATHOLOGISTS,344,8455
"MED-OTHER THERAPISTS, INCLUDING EXERCISE PHYSIOLOGISTS *",1766,7151
MED-VETERINARIANS,2103,2617
MED-REGISTERED NURSES,16209,158921
MED-NURSE ANESTHETISTS,695,953
